,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alaska Population,376170,400969,403436,404766,402753,405315,418491,449606,488417,513702,532495,544268,539309,541983,547159,553120,569273,587073,596993,600624,601345,604918,608846,615205,619500,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,732923,734182,733583
Alabama Population,3678814,3735139,3780403,3831836,3866248,3900368,3918531,3925266,3934102,3951820,3972523,3991569,4015264,4023844,4030222,4048508,4091025,4139269,4193113,4232965,4262731,4290403,4320281,4351037,4369862,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,5031362,5049846,5074296
Arkansas Population,2159526,2170161,2209010,2243127,2271333,2288738,2293201,2294257,2305761,2319768,2327046,2331984,2342355,2342656,2346358,2354343,2370666,2394098,2423743,2450605,2480121,2504858,2524007,2538202,2551373,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3014195,3028122,3045637
Arizona Population,2284847,2346157,2425197,2515316,2635571,2737774,2810107,2889861,2968925,3067135,3183538,3308262,3437103,3535183,3622185,3679056,3762394,3867333,3993390,4147560,4306908,4432308,4552207,4667277,4778332,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7179943,7264877,7359197
California Population,21537849,21935909,22352396,22835958,23256880,23800800,24285933,24820009,25360026,25844393,26441109,27102237,27777158,28464249,29218164,29950111,30414114,30875920,31147208,31317179,31493525,31780829,32217708,32682794,33145121,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39501653,39142991,39029342
Colorado Population,2586192,2632306,2696140,2766748,2849234,2908803,2977898,3061564,3133630,3169992,3208723,3237450,3260480,3262281,3275818,3303862,3367567,3459995,3560884,3653910,3738061,3812716,3891293,3968967,4056133,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5784865,5811297,5839926
Connecticut Population,3082500,3083335,3085722,3091627,3095917,3113174,3128836,3139013,3162354,3180014,3201131,3223740,3247291,3271953,3283403,3289056,3288640,3274997,3272325,3268346,3265293,3267030,3268514,3272563,3282031,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3597362,3623355,3626205
District Of Columbia Population,706871,692295,677228,665052,650016,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,603814,593239,584183,576358,564982,551273,538273,528752,521426,519000,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,670868,668791,671803
Delaware Population,586589,590166,591829,594776,594984,594919,595975,599148,605458,611565,618280,627559,636947,647622,658273,669063,680495,690158,699475,708416,718265,727090,735024,744066,753538,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,992114,1004807,1018396
Florida Population,8518422,8667379,8856183,9102032,9426159,9839835,10192774,10471407,10749851,11039925,11351118,11667505,11997283,12306395,12637715,13018365,13289497,13504775,13713593,13961798,14185403,14426911,14683350,14908230,15111244,16047515,16356966,16689369,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21589602,21828069,22244823
Georgia Population,5064075,5132812,5219697,5295751,5401384,5486174,5568345,5649792,5728250,5834954,5962661,6084666,6208467,6316142,6411099,6506531,6621279,6759474,6894092,7045900,7188538,7332225,7486094,7636522,7788240,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10729828,10788029,10912876
Hawaii Population,886160,904191,918259,931584,953306,967710,978195,993780,1012717,1027922,1039698,1051762,1067918,1079828,1094588,1112703,1131412,1149926,1161508,1173903,1180490,1184434,1189322,1190472,1185497,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1451043,1447154,1440196
Iowa Population,2880847,2903082,2913573,2918069,2915739,2914018,2907983,2888189,2870543,2858618,2829684,2791970,2767011,2768388,2770592,2779769,2791227,2806923,2820525,2829422,2840860,2848473,2854396,2861025,2869413,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3190571,3197689,3200517
Idaho Population,831982,856983,883469,910690,932627,947983,962204,973721,981869,990839,994051,990224,984997,985664,994416,1011882,1038915,1066490,1101204,1135459,1165000,1187706,1210638,1230923,1251700,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1849202,1904314,1939033
Illinois Population,11291743,11342853,11386316,11412561,11396837,11434702,11443458,11423412,11408818,11412132,11399806,11387257,11391178,11390183,11409782,11446979,11535973,11635197,11725984,11804986,11884935,11953003,12011509,12069774,12128370,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12786580,12686469,12582032
Indiana Population,5365766,5389088,5425638,5470214,5501174,5490721,5480435,5467922,5450395,5458322,5459211,5454108,5473012,5491735,5523693,5555097,5602062,5648649,5701965,5745626,5791819,5834908,5872370,5907617,5942901,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6788799,6813532,6833037
Kansas Population,2280578,2301001,2320647,2335657,2350906,2369039,2384849,2401202,2415531,2424086,2427405,2432619,2445367,2461996,2472849,2480683,2495209,2526042,2547605,2569118,2586942,2598266,2616339,2638667,2654052,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2937919,2937922,2937150
Kentucky Population,3467769,3529257,3573693,3609976,3641804,3664221,3670394,3683445,3694484,3695453,3694826,3687809,3683329,3679999,3677306,3692584,3714686,3756358,3792288,3823215,3855248,3881051,3907816,3934310,3960825,4049021,4068132,4089875,4117170,4146100,4182742,4219239,4256672,4289878,4317074,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4507445,4506589,4512310
Louisiana Population,3886104,3950605,4014459,4068579,4137665,4223101,4283303,4352608,4395316,4400477,4408118,4406919,4344148,4288863,4252894,4219179,4240950,4270849,4284749,4306500,4327978,4338763,4351390,4362758,4372035,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4651664,4627098,4590241
Massachusetts Population,5757756,5743672,5738199,5736469,5738404,5746075,5768685,5771222,5799407,5840773,5880733,5902678,5935204,5979982,6015478,6018664,5998652,5993474,6010884,6031352,6062335,6085393,6115476,6144407,6175169,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6995729,6989690,6981974
Maryland Population,4139095,4150538,4169595,4183603,4191160,4227643,4261905,4282923,4313327,4365243,4413071,4486957,4565557,4657904,4727301,4797431,4856176,4902545,4942504,4985411,5023650,5057142,5092914,5130072,5171634,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6173205,6174610,6164660
Maine Population,1071995,1088412,1103578,1113566,1122563,1126860,1133033,1136684,1144772,1155635,1162936,1170126,1184574,1203840,1219961,1231296,1235439,1235748,1238256,1237687,1237438,1241436,1245215,1247554,1253040,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1363557,1377238,1385340
Michigan Population,9117668,9129205,9171110,9217761,9266268,9255553,9209287,9115198,9047754,9049452,9076293,9127775,9187481,9217998,9253295,9310462,9395022,9470323,9529240,9584481,9659871,9739184,9785450,9820231,9863775,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,10069577,10037504,10034113
Minnesota Population,3932515,3964680,3989364,4015341,4050316,4085017,4111728,4131450,4141456,4157706,4184301,4205212,4235136,4296166,4338057,4387283,4427429,4471503,4521709,4566028,4605445,4647723,4687726,4726411,4775508,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5709852,5711471,5717184
Missouri Population,4808308,4839029,4863173,4889399,4912430,4921966,4932064,4929451,4943733,4975278,5000268,5023068,5056696,5081736,5095830,5126370,5157770,5193686,5237757,5281206,5324610,5367888,5407113,5437562,5468338,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996089,6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6140475,6153998,6169823,6177957
Mississippi Population,2399449,2429756,2459201,2487816,2507069,2525342,2539036,2556777,2567717,2578051,2588102,2593597,2588545,2580352,2574269,2577426,2591230,2610193,2635574,2663450,2690788,2709925,2731826,2751335,2768619,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970615,2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2958141,2949586,2940057
Montana Population,748208,757317,769953,782317,787305,788752,795328,803986,814031,820905,822320,813739,805063,800202,799636,799824,807837,822436,839876,854923,868522,876656,878706,879533,882779,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990730,997518,1004168,1014158,1022657,1031494,1042137,1053862,1061818,1070123,1087075,1106227,1122867
North Carolina Population,5547188,5607964,5685607,5759492,5823491,5898980,5956653,6019101,6077056,6164006,6253954,6321578,6403700,6480594,6565459,6656987,6748135,6831850,6947412,7060959,7185403,7307658,7428672,7545828,7650789,8081614,8210121,8326200,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574586,9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10449445,10565885,10698973
North Dakota Population,638886,645797,649769,651301,652896,654380,659505,668972,676688,680497,676980,669512,661136,655331,646351,637364,634199,635427,637229,639762,641548,642858,640945,637808,633666,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674752,685526,702227,723149,738736,755537,756114,756755,760062,763724,779518,777934,779261
Nebraska Population,1543117,1550911,1556842,1563884,1567344,1572296,1578515,1581780,1584293,1588639,1584664,1574333,1566547,1571477,1574864,1580664,1590805,1602406,1612149,1621551,1635142,1647657,1656042,1660772,1666028,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829591,1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1962642,1963554,1967923
New Hampshire Population,828555,845248,869763,891520,909074,924250,936621,947719,958134,976864,996753,1025053,1054289,1082577,1104522,1111831,1107055,1112766,1122191,1133054,1145604,1160768,1173239,1185823,1201134,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1378587,1387505,1395231
New Jersey Population,7337765,7339745,7337169,7350804,7366512,7376330,7407472,7430968,7467785,7515473,7565528,7622159,7670742,7712333,7726089,7757158,7784269,7827770,7874891,7918796,7965523,8009624,8054178,8095542,8143412,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,9271689,9267961,9261699
New Mexico Population,1159944,1189295,1215720,1238034,1284722,1309400,1332748,1363823,1394361,1416717,1438361,1462729,1478520,1490337,1503901,1519933,1547115,1580750,1614937,1653329,1682417,1706151,1722939,1733535,1739844,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064614,2080706,2087715,2092833,2090235,2090071,2092554,2092844,2093754,2099634,2118390,2116677,2113344
Nevada Population,619972,646975,678333,719436,765367,810215,847655,881537,901977,924922,951030,980613,1023376,1075022,1137382,1218629,1285046,1330694,1380197,1456388,1525777,1596476,1675581,1743772,1809253,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702483,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3115648,3146402,3177772
New York Population,18003485,17940541,17812602,17680589,17583838,17566754,17567734,17589738,17686905,17745684,17791672,17833419,17868848,17941309,17983086,18002855,18029532,18082032,18140894,18156652,18150928,18143805,18143184,18159175,18196601,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19399956,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,20108296,19857492,19677151
Ohio Population,10770425,10752662,10771394,10795581,10798298,10800650,10788330,10757087,10737632,10737746,10734926,10730268,10760090,10798552,10829217,10861837,10933683,11007609,11070385,11111451,11155493,11187032,11212498,11237752,11256654,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539449,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11797517,11764342,11756058
Oklahoma Population,2774683,2826815,2870014,2917336,2975310,3040758,3096164,3206123,3290402,3285533,3271332,3252735,3210122,3167057,3150307,3147105,3166471,3204174,3228829,3246119,3265547,3289634,3314259,3339478,3358044,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3760014,3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3964912,3991225,4019800
Oregon Population,2329661,2378262,2446673,2518298,2588012,2641218,2667982,2664922,2653066,2666588,2672652,2683528,2700991,2741297,2790575,2858547,2918745,2973934,3034490,3087142,3141421,3195087,3243254,3282055,3316154,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837614,3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183537,4216116,4244795,4256301,4240137
Pennsylvania Population,11906095,11897378,11893591,11879396,11887975,11868305,11858567,11845146,11837723,11815172,11770862,11782752,11810866,11845752,11865996,11895604,11943160,11980819,12022128,12042545,12044780,12038008,12015888,12002329,11994016,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711406,12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883,12994440,13012059,12972008
Rhode Island Population,942788,946089,950230,951816,950382,948773,953013,954170,956382,961894,968955,977341,989604,996408,1000666,1004649,1003990,1000571,997852,993412,989203,987858,986966,987704,990819,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053994,1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1096345,1096985,1093734
South Carolina Population,2902028,2943657,2991681,3044364,3090267,3134502,3179255,3207614,3234066,3271868,3303209,3342758,3380506,3412096,3456775,3499064,3559470,3600576,3634507,3666456,3699943,3738974,3790066,3839578,3885736,4024223,4064995,4107795,4150296,4210921,4270150,4357847,4444110,4528996,4589872,4635846,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5131848,5193266,5282634
South Dakota Population,681042,686390,688480,688580,688335,690851,689584,690597,693008,697249,698402,696034,696036,698165,696701,696667,701445,708698,716258,723038,728251,730699,730855,730789,733133,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816193,823740,833859,842751,849670,854663,863693,873732,879386,887127,887799,896164,909824
Tennessee Population,4275566,4346928,4422921,4486314,4560473,4600252,4627658,4646041,4659749,4686737,4715296,4738708,4782927,4822437,4854444,4890626,4946886,5013999,5085666,5163016,5241168,5313576,5378433,5432679,5483535,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355518,6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6925619,6968351,7051339
Texas Population,12568843,12904089,13193050,13500429,13888371,14338208,14746318,15331415,15751676,16007086,16272734,16561113,16621791,16667022,16806735,17044714,17339904,17650479,17996764,18338319,18679706,19006240,19355427,19712389,20044141,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25241897,25645504,26084120,26479646,26963092,27468531,27914064,28291024,28624564,28986794,29232474,29558864,30029572
Utah Population,1236030,1274928,1319512,1367510,1420238,1472595,1515471,1558314,1594943,1622342,1642910,1662834,1678119,1689372,1705864,1729722,1771941,1821498,1875993,1930436,1976774,2022253,2065397,2100562,2129836,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775413,2814797,2854146,2898773,2938327,2983626,3044241,3103540,3155153,3203383,3283785,3339113,3380800
Virginia Population,5047395,5121863,5193112,5270240,5307945,5368334,5444097,5492783,5564657,5643870,5715153,5811700,5932268,6036909,6120246,6213526,6283853,6383315,6464795,6536771,6601392,6665491,6732878,6789225,6872912,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8024004,8102437,8187456,8255861,8315430,8367303,8417651,8471011,8510920,8556642,8636471,8657365,8683619
Vermont Population,479713,484928,491931,498109,505372,512524,515594,519109,523302,526660,530035,534066,540267,549763,557707,564526,567141,570115,574004,578900,582827,586352,588665,590579,593740,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625886,627197,626361,626603,625693,625810,624366,625132,624802,624046,642893,646972,647064
Washington Population,3621339,3693610,3776050,3889073,4017632,4154678,4235731,4276552,4300266,4343656,4400098,4452720,4531901,4639893,4746316,4900780,5013443,5139011,5247704,5334896,5431024,5509963,5604105,5687832,5756361,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743009,6827479,6898599,6966252,7057531,7167287,7299961,7427951,7526793,7614024,7724031,7740745,7785786
Wisconsin Population,4578986,4595904,4626514,4646108,4682811,4712045,4726343,4728870,4721438,4735563,4747767,4755618,4777919,4822388,4856574,4902265,4952675,5004636,5055318,5095504,5137004,5173828,5200235,5222124,5250446,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690538,5705840,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5824581,5896271,5880101,5892539
West Virginia Population,1842250,1879503,1908088,1923395,1942146,1951349,1954124,1949604,1945061,1927697,1906831,1882350,1857585,1830215,1806568,1792481,1798212,1805462,1816179,1818490,1820560,1818983,1815588,1811688,1806928,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854265,1856606,1857446,1854768,1850569,1843332,1832435,1818683,1805953,1795263,1791420,1785526,1775156
Wyoming Population,381695,396952,413354,432880,454378,474185,491712,506400,510345,504896,499695,495633,476965,465101,458374,453401,457739,463491,469033,474982,478447,480085,480031,480045,479602,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564531,567491,576656,582620,583159,586389,585243,579994,579054,580116,577605,579483,581381
